pattern name, pattern_size, packet_size
transpose, 4, 8
routing_mode, SA_mode, total packet num, total latency, avg latency, worst case latency, avg rcv thruput, avg sent thruput, max rcv thruput,  max sent thruput,  offered send thruput,  max used VC NUMworst case packet info
0, 0, 2016, 855, 603.973, 802, 0.0480916, 0.0368852, 0.23625, 0.0765625, 0.421053, 1, worst packet from (1, 4, 0) to (4, 0, 1), packet id is 0

0, 1, 2016, 855, 604.04, 802, 0.0480916, 0.0368852, 0.23625, 0.07625, 0.421053, 1, worst packet from (1, 4, 0) to (4, 0, 1), packet id is 0

0, 2, 2016, 855, 603.973, 802, 0.0480916, 0.0368852, 0.23625, 0.0765625, 0.421053, 1, worst packet from (1, 4, 0) to (4, 0, 1), packet id is 0

1, 0, 2016, 907, 605.08, 867, 0.0445545, 0.0347682, 0.23625, 0.109531, 0.421053, 1, worst packet from (2, 7, 5) to (7, 5, 2), packet id is 2

1, 1, 2016, 871, 604.584, 819, 0.0469449, 0.0362069, 0.23625, 0.0757812, 0.421053, 2, worst packet from (7, 0, 4) to (0, 4, 7), packet id is 1

1, 2, 2016, 879, 604.652, 831, 0.0463918, 0.035877, 0.23625, 0.0765625, 0.421053, 2, worst packet from (5, 2, 0) to (2, 0, 5), packet id is 2

2, 0, 2016, 879, 604.069, 831, 0.0463918, 0.035877, 0.23625, 0.0723437, 0.421053, 2, worst packet from (5, 2, 0) to (2, 0, 5), packet id is 2

2, 1, 2016, 871, 604.032, 811, 0.0469449, 0.0362069, 0.23625, 0.07375, 0.421053, 2, worst packet from (4, 3, 0) to (3, 0, 4), packet id is 3

2, 2, 2016, 879, 604.069, 831, 0.0463918, 0.035877, 0.23625, 0.0723437, 0.421053, 3, worst packet from (5, 2, 0) to (2, 0, 5), packet id is 2

3, 0, 2016, 879, 603.869, 831, 0.0463918, 0.035877, 0.23625, 0.0759375, 0.421053, 2, worst packet from (5, 2, 0) to (2, 0, 5), packet id is 2

3, 1, 2016, 863, 604.035, 808, 0.0475113, 0.0365429, 0.23625, 0.0765625, 0.421053, 3, worst packet from (2, 0, 6) to (0, 6, 2), packet id is 0

3, 2, 2016, 871, 603.844, 815, 0.0469449, 0.0362069, 0.23625, 0.075, 0.421053, 2, worst packet from (1, 6, 4) to (6, 4, 1), packet id is 2

4, 0, 2016, 1967, 732.584, 1967, 0.0178268, 0.0160224, 0.23625, 0.0889063, 0.421053, 3, worst packet from (6, 3, 5) to (3, 5, 6), packet id is 0

4, 1, 2016, 1987, 724.013, 1967, 0.0176273, 0.015861, 0.23625, 0.0923438, 0.421053, 3, worst packet from (0, 5, 7) to (5, 7, 0), packet id is 1

4, 2, 2016, 1827, 731.887, 1771, 0.0193608, 0.0172508, 0.23625, 0.086875, 0.421053, 2, worst packet from (0, 5, 7) to (5, 7, 0), packet id is 1

best, best,  , 855, 603.844, 802, 0.0480916, 0.0368852, 0.23625, 0.109531, 0.421053, 1,  
avg, avg,  , 1083, 629.247, 1037, 0.0411705, 0.0322153, 0.23625, 0.0803542, 0.421053, 2,  
worst, worst,  , 1987, 732.584, 1967, 0.0176273, 0.015861, 0.23625, 0.0723437, 0.421053, 3,  
