pattern name, pattern_size, packet_size
bit_complement, 4, 16
routing_mode, SA_mode, total packet num, total latency, avg latency, worst case latency, avg rcv thruput, avg sent thruput, max rcv thruput,  max sent thruput,  offered send thruput,  max used VC NUMworst case packet info
0, 0, 2048, 992, 610.33, 934, 0.0934307, 0.0645812, 0.48, 0.2325, 0.761905, 3, worst packet from (1, 5, 2) to (6, 2, 5), packet id is 2

0, 1, 2048, 976, 610.199, 913, 0.0956652, 0.065641, 0.48, 0.2375, 0.761905, 3, worst packet from (2, 1, 1) to (5, 6, 6), packet id is 0

0, 2, 2048, 992, 610.33, 928, 0.0934307, 0.0645812, 0.48, 0.2325, 0.761905, 3, worst packet from (1, 1, 5) to (6, 6, 2), packet id is 0

1, 0, 2048, 1052, 626.984, 1052, 0.085906, 0.0608944, 0.48, 0.21875, 0.761905, 6, worst packet from (5, 6, 6) to (2, 1, 1), packet id is 0

1, 1, 2048, 1025, 626.798, 959, 0.0891365, 0.0625, 0.48, 0.22625, 0.761905, 5, worst packet from (1, 0, 6) to (6, 7, 1), packet id is 3

1, 2, 2048, 1081, 627.454, 1059, 0.0826873, 0.0592593, 0.48, 0.220938, 0.761905, 6, worst packet from (5, 6, 2) to (2, 1, 5), packet id is 1

2, 0, 2048, 1044, 621.944, 993, 0.0868385, 0.0613615, 0.48, 0.225, 0.761905, 4, worst packet from (6, 5, 2) to (1, 2, 5), packet id is 0

2, 1, 2048, 1026, 621.664, 960, 0.0890125, 0.062439, 0.48, 0.2275, 0.761905, 2, worst packet from (2, 1, 2) to (5, 6, 5), packet id is 3

2, 2, 2048, 1044, 621.919, 993, 0.0868385, 0.0613615, 0.48, 0.22875, 0.761905, 4, worst packet from (6, 5, 2) to (1, 2, 5), packet id is 0

3, 0, 2048, 996, 614.138, 944, 0.0928882, 0.0643216, 0.48, 0.232187, 0.761905, 4, worst packet from (6, 5, 2) to (1, 2, 5), packet id is 0

3, 1, 2048, 993, 614.821, 931, 0.0932945, 0.0645161, 0.48, 0.23625, 0.761905, 4, worst packet from (2, 5, 2) to (5, 2, 5), packet id is 1

3, 2, 2048, 996, 613.367, 953, 0.0928882, 0.0643216, 0.48, 0.233125, 0.761905, 6, worst packet from (5, 6, 5) to (2, 1, 2), packet id is 1

4, 0, 2048, 1939, 757.297, 1873, 0.0392157, 0.0330237, 0.48, 0.165625, 0.761905, 3, worst packet from (7, 2, 5) to (0, 5, 2), packet id is 3

4, 1, 2048, 1939, 762.779, 1882, 0.0392157, 0.0330237, 0.48, 0.16375, 0.761905, 2, worst packet from (1, 2, 3) to (6, 5, 4), packet id is 2

4, 2, 2048, 1902, 757.926, 1902, 0.0401254, 0.0336665, 0.48, 0.16375, 0.761905, 3, worst packet from (1, 6, 3) to (6, 1, 4), packet id is 0

best, best,  , 976, 610.199, 913, 0.0956652, 0.065641, 0.48, 0.2375, 0.761905, 2,  
avg, avg,  , 1199.8, 646.53, 1151.73, 0.0800382, 0.0570328, 0.48, 0.216292, 0.761905, 3.86667,  
worst, worst,  , 1939, 762.779, 1902, 0.0392157, 0.0330237, 0.48, 0.16375, 0.761905, 6,  
