pattern name, pattern_size, packet_size
CUBE_NN, 8, 16
routing_mode, SA_mode, total packet num, total latency, avg latency, worst case latency, avg rcv thruput, avg sent thruput, max rcv thruput,  max sent thruput,  offered send thruput,  max used VC NUMworst case packet info
0, 0, 106496, 1932, 422.515, 1017, 1.82556, 1.72346, 4.8, 3.52, 6, 7, worst packet from (0, 0, 0) to (0, 1, 7), packet id is 2

0, 1, 106496, 1800, 376.963, 803, 1.96807, 1.84992, 4.8, 4.16, 6, 6, worst packet from (0, 0, 0) to (1, 7, 7), packet id is 6

0, 2, 106496, 1882, 411.023, 985, 1.87704, 1.76927, 4.8, 3.52, 6, 7, worst packet from (0, 0, 0) to (0, 1, 7), packet id is 2

1, 0, 106496, 2011, 412.14, 1017, 1.74974, 1.65572, 4.8, 3.52, 6, 7, worst packet from (0, 0, 0) to (0, 1, 7), packet id is 2

1, 1, 106496, 1882, 376.007, 803, 1.87704, 1.76927, 4.8, 4.16, 6, 7, worst packet from (0, 0, 0) to (1, 7, 7), packet id is 6

1, 2, 106496, 1970, 398.7, 1053, 1.78829, 1.6902, 4.8, 3.52, 6, 7, worst packet from (4, 3, 2) to (4, 4, 3), packet id is 45

2, 0, 106496, 1833, 411.918, 1017, 1.93039, 1.81659, 4.8, 3.52, 6, 7, worst packet from (0, 0, 0) to (0, 1, 7), packet id is 2

2, 1, 106496, 1771, 381.163, 803, 2.00241, 1.88023, 4.8, 4.16, 6, 7, worst packet from (0, 0, 0) to (1, 7, 7), packet id is 6

2, 2, 106496, 1825, 397.761, 985, 1.93939, 1.82456, 4.8, 3.52, 6, 7, worst packet from (0, 0, 0) to (0, 1, 7), packet id is 2

3, 0, 106496, 2012, 417.058, 1017, 1.74882, 1.6549, 4.8, 3.52, 6, 7, worst packet from (0, 0, 0) to (0, 1, 7), packet id is 2

3, 1, 106496, 1869, 376.546, 803, 1.89091, 1.78158, 4.8, 4.16, 6, 7, worst packet from (0, 0, 0) to (1, 7, 7), packet id is 6

3, 2, 106496, 1984, 402.332, 986, 1.77493, 1.67827, 4.8, 3.52, 6, 7, worst packet from (1, 1, 3) to (1, 2, 4), packet id is 45

